preco,area_m2,quartos,banheiros,garagem,idade_do_imovel,latitude,longitude,bairro,seguranca
598822.54,162.24,2,2,1,27,-23.554491,-46.620878,Bairro Industrial,3
587850.23,33.66,4,3,0,26,-23.695596,-46.608551,Vila Nobre,2
695408.07,67.8,2,2,3,31,-23.685525,-46.609746,Vila Nobre,2
796528.41,119.37,4,3,2,41,-23.532111,-46.542264,Zona Leste,2
735700.67,82.17,2,3,1,34,-23.542334,-46.661199,Vila Nobre,2
401284.85,53.84,2,2,2,25,-23.559054,-46.579612,Centro,2
878741.13,112.76,2,2,1,12,-23.585792,-46.654445,Jardim Sul,3
1002946.6,122.05,4,3,0,9,-23.580968,-46.519221,Jardim Sul,3
1352137.0,150.94,3,1,0,24,-23.600965,-46.536492,Vila Nobre,2
575243.36,109.41,3,2,0,29,-23.505888,-46.557718,Bairro Industrial,2
718920.15,94.94,2,3,2,43,-23.558865,-46.684131,Centro,3
407821.73,76.3,3,1,0,2,-23.670905,-46.509936,Bairro Industrial,1
926127.89,105.73,4,3,1,18,-23.651515,-46.52175,Jardim Sul,2
697124.67,81.5,2,2,3,21,-23.610903,-46.568331,Centro,3
219063.13,3.45,2,2,1,49,-23.672445,-46.694704,Vila Nobre,1
1062044.68,153.03,3,2,1,3,-23.633138,-46.654028,Zona Leste,2
1191151.69,116.08,4,2,2,28,-23.697266,-46.603416,Jardim Sul,3
463965.09,63.48,2,2,2,17,-23.552928,-46.544813,Jardim Sul,1
490384.15,50.9,3,2,2,30,-23.625631,-46.508457,Centro,2
718167.07,57.69,2,2,2,2,-23.628538,-46.695544,Jardim Sul,2
1111362.29,108.44,3,2,2,20,-23.606225,-46.557468,Jardim Sul,3
785042.22,85.85,3,2,2,36,-23.681318,-46.539809,Zona Leste,3
590174.04,37.78,3,2,1,34,-23.583719,-46.640018,Jardim Sul,3
497480.33,47.4,2,2,1,6,-23.645865,-46.647338,Centro,3
727082.82,117.24,4,2,2,49,-23.634042,-46.698962,Zona Leste,2
576975.56,71.13,4,3,0,22,-23.543136,-46.548397,Zona Leste,2
524550.75,28.41,3,2,3,44,-23.579131,-46.696683,Vila Nobre,2
516137.6,59.45,3,1,1,44,-23.657652,-46.620455,Zona Leste,3
288983.68,30.4,2,1,1,24,-23.660498,-46.541567,Bairro Industrial,1
962010.93,125.02,4,3,1,18,-23.692755,-46.57925,Centro,2
801366.16,112.74,3,3,1,26,-23.665575,-46.676304,Zona Leste,2
328887.85,11.48,2,1,1,47,-23.607624,-46.69382,Vila Nobre,2
968766.12,156.3,1,1,1,7,-23.55761,-46.614841,Zona Leste,2
713182.5,52.64,3,1,2,41,-23.613064,-46.662186,Vila Nobre,1
535294.21,101.87,2,2,1,43,-23.53294,-46.615476,Bairro Industrial,3
416000.27,42.74,2,3,1,44,-23.684662,-46.626541,Jardim Sul,2
616023.72,98.46,2,1,2,27,-23.542604,-46.680642,Centro,1
754007.05,133.56,2,3,1,11,-23.658592,-46.590936,Bairro Industrial,3
708485.18,97.43,2,2,1,4,-23.534422,-46.611614,Zona Leste,3
958696.71,110.42,3,2,2,42,-23.605025,-46.575329,Jardim Sul,2
454641.41,56.57,3,2,1,32,-23.686506,-46.550994,Centro,1
1376622.69,150.27,2,2,3,25,-23.628867,-46.514878,Vila Nobre,2
459386.27,84.07,3,3,1,3,-23.568985,-46.524958,Zona Leste,1
820193.96,88.76,3,1,2,3,-23.682688,-46.585172,Vila Nobre,1
978977.18,122.73,3,1,0,11,-23.572319,-46.535538,Jardim Sul,2
951068.93,103.36,3,2,1,13,-23.65189,-46.683595,Vila Nobre,2
583966.04,111.01,2,2,2,40,-23.512631,-46.610876,Bairro Industrial,3
418667.74,39.23,2,2,1,23,-23.645584,-46.677689,Zona Leste,2
777059.83,166.68,3,1,2,32,-23.682581,-46.527522,Zona Leste,1
586792.19,80.16,2,1,1,0,-23.529942,-46.591089,Jardim Sul,1
532501.66,46.16,3,2,1,16,-23.644868,-46.617021,Jardim Sul,1
410098.96,24.57,3,3,1,34,-23.574285,-46.640713,Vila Nobre,2
843379.48,116.99,3,2,1,27,-23.529152,-46.650896,Jardim Sul,2
566794.73,76.17,2,2,2,34,-23.550539,-46.658878,Jardim Sul,1
291194.41,17.22,2,1,1,24,-23.553254,-46.504388,Zona Leste,3
641243.53,112.42,2,2,2,20,-23.695987,-46.536282,Centro,1
893045.65,150.55,2,2,1,20,-23.529034,-46.564328,Jardim Sul,1
753482.14,111.81,3,2,2,24,-23.681923,-46.607624,Zona Leste,2
602173.89,50.6,2,3,1,19,-23.63914,-46.605944,Vila Nobre,1
815831.56,88.65,3,2,1,8,-23.576277,-46.530974,Jardim Sul,2
650397.92,80.33,3,2,1,3,-23.581188,-46.522142,Zona Leste,2
566214.57,60.8,2,1,3,9,-23.685202,-46.569508,Zona Leste,2
885390.55,85.08,2,3,1,19,-23.545908,-46.554026,Vila Nobre,2
503533.39,29.02,2,1,1,32,-23.653818,-46.666885,Vila Nobre,2
628531.06,60.03,2,2,1,9,-23.521714,-46.553976,Jardim Sul,2
313132.6,40.82,3,2,2,35,-23.673329,-46.68547,Bairro Industrial,2
673839.0,80.41,3,2,2,27,-23.638319,-46.577506,Zona Leste,2
364973.33,24.63,4,2,2,47,-23.507012,-46.536782,Jardim Sul,1
733906.69,151.85,3,2,1,34,-23.628727,-46.506965,Bairro Industrial,2
746728.4,102.95,3,2,1,4,-23.557668,-46.546375,Centro,3
800325.39,71.69,3,2,1,42,-23.663723,-46.547552,Vila Nobre,2
521627.33,93.29,2,2,2,35,-23.630897,-46.569104,Zona Leste,2
630372.18,86.75,4,2,1,44,-23.525278,-46.580607,Zona Leste,1
637040.83,84.93,3,3,2,24,-23.542351,-46.620062,Zona Leste,2
722070.16,117.97,4,3,1,7,-23.550535,-46.617524,Bairro Industrial,3
559543.67,82.94,2,3,3,10,-23.56824,-46.619452,Centro,1
798469.22,158.96,4,3,0,39,-23.584029,-46.661159,Zona Leste,2
1064532.31,176.4,3,2,1,9,-23.506838,-46.652655,Zona Leste,2
1161074.39,160.64,2,1,1,38,-23.689351,-46.52936,Vila Nobre,1
325046.18,8.78,2,2,1,5,-23.660052,-46.556642,Jardim Sul,1
655011.14,39.73,4,2,1,16,-23.53271,-46.666899,Vila Nobre,2
793840.77,68.5,1,1,2,20,-23.561066,-46.646662,Vila Nobre,3
743848.94,107.85,3,1,1,18,-23.567353,-46.533552,Jardim Sul,2
727802.93,87.14,3,2,1,22,-23.690514,-46.690703,Jardim Sul,2
636096.65,87.89,2,1,1,23,-23.547977,-46.614925,Centro,3
499547.56,66.79,2,1,1,40,-23.634917,-46.520154,Centro,2
607870.41,80.19,3,2,2,30,-23.528643,-46.568005,Centro,2
837068.22,63.16,2,2,2,12,-23.622026,-46.576086,Vila Nobre,3
748385.15,90.29,3,1,0,33,-23.590669,-46.642543,Vila Nobre,1
1050656.21,140.13,2,1,2,35,-23.568247,-46.648262,Zona Leste,3
1172891.87,150.4,3,2,1,15,-23.665097,-46.666234,Vila Nobre,3
476345.55,55.68,2,3,1,12,-23.616255,-46.682079,Zona Leste,1
841575.77,97.62,2,2,2,15,-23.589588,-46.526993,Jardim Sul,3
